Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"4-к. квартира, 114,7 м², 6/7 эт.",45537557,"ул. Автозаводская, вл. 23/70",28 апреля 14:47,Эталон Москва,Эталон Москва,7277944426,4,7,53.8 м²,23.2 м²,6,7,3.1 м,,,,,,,,без отделки,монолитный,,,,,,Жилой квартал «Shagal (Шагал)»,Очередь 2 Корпус 3,прямая продажа,,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64194000,55.68954000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1147_m_67_et._7277944426
"4-к. квартира, 62,3 м², 3/9 эт.",14900000,"Москва, Самаркандский б-р, 10к1",,Пользователь,Пользователь,7345409819,4,3,45 м²,8 м²,3,9,2.7 м,раздельный,,во двор,косметический,,"кухня, хранение одежды, спальные места",холодильник,"Год постройки, расположение, ремонт и",панельный,1980,1,,детская площадка,открытая во дворе,Жк Дельвиг,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.82675552,55.70553970",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_623_m_39_et._7345409819
"5-к. квартира, 221 м², 11/18 эт.",278106400,"пр-т Кутузовский, вл. 12/1",6 мая 15:07,Capital Group,Capital Group,4593331182,5,221,,,11,18,,,,,,,,,без отделки,монолитный,,1,1,,подземная,ЖК «Бадаевский»,Этап 3,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55893000,55.75055000",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_221_m_1118_et._4593331182
"4-к. апартаменты, 266,8 м², 19/20 эт.",301484000,"ул. Дружинниковская, д. 15А",29 апреля 00:08,SkyView,SkyView,4072600567,4,8,,,19,20,,,,,,,есть,,предчистовая,монолитно-кирпичный,,,,,подземная,Комплекс апартаментов «SKY VIEW»,Sky View,прямая продажа,,другое,Сдан 3 кв. 2024,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57484000,55.75978000",https://www.avito.ru/moskva/kvartiry/4-k._apartamenty_2668_m_1920_et._4072600567
"4-к. квартира, 70 м², 3/5 эт.",38000000,"Москва, ул. Доватора, 7/8",,Пользователь,Пользователь,4695526487,4,70,60 м²,10 м²,3,5,3 м,раздельный,,"во двор, на улицу, на солнечную сторону",косметический,,кухня,"холодильник, стиральная машина, посудомоечная машина, водонагреватель","Свежий косметический ремонт позволит новым владельцам сразу же заехать без дополнительных вложений. Комфортное жилище с раздельным санузлом и тремя комнатами порадует как семейные пары, так и одиноких людей. Вид из окон открывает панораму на зеленый двор и улицу, создавая ощущение пространства и свободы.",кирпичный,1929,нет,нет,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Виктори Парк Резиденс Жк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.56901932,55.72377777",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_70_m_35_et._4695526487
"4-к. квартира, 123,8 м², 6/32 эт.",88123935,"ул. Летниковская, вл. 11/10",2 мая 16:08,Pioneer,Pioneer,4740542219,4,8,,,6,32,3.1 м,совмещенный,,Тип комнат,,,,,чистовая,монолитный,,3,1,"детская площадка, спортивная площадка",подземная,ЖК «HIGH LIFE»,Корпус 3 (1 очередь),возможна ипотека,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64563000,55.72558000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1238_m_632_et._4740542219
"4-к. квартира, 97,4 м², 48/59 эт.",36022218,"ул. Верейская, д. 29/32Д",,MR Group - ЖК «SET»,MR Group - ЖК «SET»,7262501974,4,4,65.1 м²,,48,59,,,лоджия,"ми на три стороны света, мастер-спальнями и террасами, а также система",,,,,без отделки,монолитный,,,,"детская площадка, спортивная площадка","на 50 мест.

Статусное окружение

В непосредственной близости расположены престижные учебные заведения, такие как лучшая бизнес-школа России",ЖК SET,Урбан-блок UB3c,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43580000,55.70993000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_974_m_4859_et._7262501974
"4-к. квартира, 100,5 м², 14/17 эт.",28850000,"Москва, Студёный пр., 14",,Недвижимость Для Вас,Недвижимость Для Вас,4610626841,4,5,67 м²,10.8 м²,14,17,2.7 м,раздельный,"балкон, лоджия","во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель","Год постройки, расположение, ремонт и",панельный,2005,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Дельвиг,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66108993,55.89253486",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1005_m_1417_et._4610626841
"4-к. квартира, 142,9 м², 9/22 эт.",111476290,"ш. Волоколамское, стр. 14",28 апреля 22:35,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,4446150692,4,9,70.3 м²,37.2 м²,9,22,3.4 м,раздельный,,,,,,,без отделки,монолитный,,,,закрытая территория,подземная,ЖК «Клубный город на реке Primavera»,Квартал «Беллини» (корпус 14),прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42808000,55.81245000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1429_m_922_et._4446150692
"4-к. квартира, 336 м², 18/18 эт.",1278320000,Москва,30 апреля 20:39,Absolute Premium,Absolute Premium,7286709429,4,336,122.7 м²,,18,18,,,,"- Возможность установки дровяного камина
- Виды из окон на Москву-реку и Частный парк

Клубный дом Gаrdеn 1 LUZНNIКI СОLLЕСТIОN",,,есть,,без отделки,монолитный,,,,,"Подъезд
Парки
Узнать больше о ЖК",Luzhniki Collection (Коллекция Лужники),Корпус В1,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_336_m_1818_et._7286709429
"4-к. квартира, 95 м², 5/6 эт.",75000000,"Москва, ул. Арбат, 47/23",8 мая 18:36,BARNES Moscow,BARNES Moscow,4001447990,4,95,,14 м²,5,6,3.2 м,раздельный,,"во двор, на улицу",евро,,есть,,Планировочным,кирпичный,1910,1,,", на улицу
Ремонт",,Виктори Парк Резиденс Жк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58754200,55.74805700",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_95_m_56_et._4001447990
"4-к. квартира, 154,9 м², 49/49 эт.",100767872,"ул. 2-я Хуторская, д. 34",30 апреля 10:46,MR Group - ЖК «Symphony 34»,MR Group - ЖК «Symphony 34»,4209780709,4,9,84.8 м²,,49,49,4.7 м,,,"высотой до 2,6 м.
Более 100 кладовых в подземной части ЖК и более 500 на этажах.

Безопасность
- Система контроля входа на территорию комплекса, биометрия
- Система автоматического водяного пожаротушения и противопожарного водопровода, система пожарной вентиляции
- Доступ на парковку при помощи системы распознавания автомобильных номеров, карточка для контроля доступа резидентов
- Система видеонаблюдения
- Круглосуточная связь через приложение, телефон, голосовые сообщения с охраной, консьержем, саll-центр.

Расположение

Пешком
- 6 минут до метро",,,,,предчистовая,монолитно-кирпичный,,,,"детская площадка, спортивная площадка",,ЖК «SYMPHONY34 (Симфония 34)»,Корпус B (Crystal),прямая продажа,,другое,Сдан 4 кв. 2024,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.56997000,55.80600000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1549_m_4949_et._4209780709
"6-к. квартира, 180,8 м², 9/19 эт.",142470400,"ул. Нижние Мневники, з/у 12Б",10 мая 06:10,ДОНСТРОЙ,ДОНСТРОЙ,7224187095,6,8,59.9 м²,58.7 м²,9,19,3.4 м,"совмещенный, раздельный","балкон, лоджия",во двор,,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Остров»,5 корпус (Квартал 7),прямая продажа,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45928000,55.74541000",https://www.avito.ru/moskva/kvartiry/6-k._kvartira_1808_m_919_et._7224187095
"4-к. квартира, 100 м², 3/22 эт.",32500000,"Москва, Фестивальная ул., 4",,Пользователь,Пользователь,4481339583,4,100,65 м²,12 м²,3,22,2.7 м,раздельный,балкон,во двор,косметический,,кухня,,дизайнерский ремонт,панельный,1998,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Дельвиг,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48526764,55.85658646",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_100_m_322_et._4481339583
"4-к. квартира, 247,8 м², 19/22 эт.",331320000,"ул. Сергея Макеева, вл. 11/9",15 апреля 13:59,Sminex,Sminex,7300239142,4,8,,,19,22,3.4 м,,,Тип комнат,,,,,без отделки,монолитный,,1,1,закрытая территория,,Роскошный квартал Life Time,Корпус B,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55100000,55.76258000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_2478_m_1922_et._7300239142
"4-к. квартира, 118,3 м², 30/32 эт.",88174905,"ул. Летниковская, вл. 11/10",2 мая 16:08,Pioneer,Pioneer,7205002578,4,3,,,30,32,3.1 м,совмещенный,,Тип комнат,,,,,чистовая,монолитный,,3,1,"детская площадка, спортивная площадка",подземная,ЖК «HIGH LIFE»,Корпус 3 (1 очередь),возможна ипотека,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64563000,55.72558000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1183_m_3032_et._7205002578
"4-к. квартира, 121,3 м², 13/25 эт.",67898888,"ул. Часовая, стр. 1.2",27 апреля 22:07,ЖК SOUL,ЖК SOUL,3629301104,4,3,55.8 м²,29.1 м²,13,25,3 м,совмещенный,"ами, мастер-спальнями и гардеробными. Высота потолков от 3,1 м. На последнем этаже 3,5 м.

В проекте 2 детских сада на 100 и 200 малышей. Фит-рум, коворкинг, дизайнерские лобби, подземный паркинг и келлеры.
О застройщике
Группа компаний","ми, французскими балконами, мастер-спальнями и гардеробными. Высота потолков от 3,1 м. На последнем этаже 3,5 м.

В проекте 2 детских сада на 100 и 200 малышей. Фит-рум, коворкинг, дизайнерские лобби, подземный паркинг и келлеры.
О застройщике
Группа компаний",,,,,предчистовая,монолитный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «SOUL»,Этап 1.2 (Корпус 3),возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52031000,55.81267000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1213_m_1325_et._3629301104
"4-к. квартира, 184,9 м², 16/18 эт.",160659610,"ш. Волоколамское, стр. 14",28 апреля 22:35,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,4446387355,4,9,72 м²,57.1 м²,16,18,3.7 м,раздельный,балкон,,,,,,без отделки,монолитный,,,,закрытая территория,подземная,ЖК «Клубный город на реке Primavera»,Квартал «Беллини» (корпус 14),Продажа Квартир 3 Х Комнатных,,ДДУ по ФЗ 214,Сдача в 4 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42808000,55.81245000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1849_m_1618_et._4446387355
"4-к. квартира, 96,2 м², 15/17 эт.",54923191,"ул. Большая Почтовая, корп. В",,Domofond,Domofond,4673813874,4,2,51.8 м²,21.7 м²,15,17,,совмещенный,,"во двор, на улицу",,,,,без отделки,монолитный,,,,", на улицу
Отделка",есть,ЖК «Level Бауманская»,Корпус В,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69655000,55.77655000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_962_m_1517_et._4673813874
"5-к. квартира, 208,8 м², 5/11 эт.",176416007,"ул. Дербеневская, вл. 1",2 мая 17:40,Pioneer,Pioneer,5089748551,5,8,56.6 м²,,5,11,3.7 м,,"ами в ванных комнатах.

ОРUS располагается в историческом месте с видом на Крутицкое подворье и Симоновский вал. Совсем рядом легендарное Замоскворечье - район, сохранивший камерную атмосферу старой Москвы. Локация уникальна также тем, что новые современные проекты соседствуют с культовыми объектами культурного и исторического наследия города.
Для резидентов доступна клубная инфраструктура",на улицу,,,,,без отделки,монолитный,,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Клубный дом «OPUS»,,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65371000,55.72555000",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_2088_m_511_et._5089748551
"4-к. квартира, 138,1 м², 24/27 эт.",117230000,"ул. Крылатская, вл. 23",21 апреля 20:14,TOUCH,TOUCH,4520933612,4,1,81.9 м²,5.6 м²,24,27,3.1 м,совмещенный,балкон,на улицу,,,,,без отделки,монолитный,,1,4,ец,подземная,Дом Горизонтов,,Продажа Квартир 3 Х Комнатных,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.41472000,55.77134000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1381_m_2427_et._4520933612
"4-к. квартира, 104,2 м², 28/29 эт.",57403780,"ул. Южнопортовая, стр. 8",17 апреля 19:37,ЖК Portland,ЖК Portland,4380022405,4,2,47.5 м²,24 м²,28,29,3.1 м,совмещенный,,на самое широкое водное пространство Москва-реки,,,,,предчистовая,монолитно-кирпичный,,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Portland»,Корпус 8 (Этап 2),возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.71307000,55.69257000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1042_m_2829_et._4380022405
"4-к. квартира, 124,1 м², 19/21 эт.",75676304,"ул. Щукинская, д. 3",3 мая 05:07,Мангазея,Мангазея,4644848895,4,1,50.1 м²,36.9 м²,19,21,3.1 м,"совмещенный, раздельный",,во двор,,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Интонация»,Корпус 1,возможна ипотека,договор долевого участия,другое,Сдан 4 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48060000,55.80824000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1241_m_1921_et._4644848895
"4-к. квартира, 102,6 м², 48/59 эт.",37270304,"ул. Верейская, д. 29/32Д",,MR Group - ЖК «SET»,MR Group - ЖК «SET»,7262386982,4,6,69.8 м²,,48,59,,,лоджия,"ми на три стороны света, мастер-спальнями и террасами, а также система",,,,,без отделки,монолитный,,,,"детская площадка, спортивная площадка","на 50 мест.

Статусное окружение

В непосредственной близости расположены престижные учебные заведения, такие как лучшая бизнес-школа России",ЖК SET,Урбан-блок UB3c,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43580000,55.70993000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1026_m_4859_et._7262386982
"4-к. квартира, 94 м², 3/10 эт.",18950000,"Москва, Южнобутовская ул., 53",,Алина,Алина,7197402919,4,94,65 м²,10 м²,3,10,2.7 м,раздельный,балкон,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина","В квартире сделан душевный косметический ремонт своими руками, можно заехать и жить. Проводка, разводка труб, окна от застройщика (1996 год). Стены и пол ждут выравнивания уже от следующего владельца:)",монолитный,1996,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53165817,55.53617477",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_94_m_310_et._7197402919
"5-к. квартира, 162,3 м², 64/67 эт.",195044025,"Краснопресненская наб., д. 14, корп. 3",Сегодня 19:48,Capital Group,Capital Group,2884350446,5,3,135.3 м²,24.3 м²,64,67,3.1 м,,,"ориентированы на Москва-Сити в одну сторону и на зеленую зону запада столицы в другую. Квартира предлагается без отделки.
О застройщике
Группа компаний",,,есть,,без отделки,монолитный,,,,,,ЖК «Capital Towers»,Корпус В,прямая продажа,,другое,Сдан 2 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54841000,55.75201000",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_1623_m_6467_et._2884350446
"4-к. квартира, 115,1 м², 35/53 эт.",52748811,"пр-д Серебрякова, д. 11, корп. 2",5 мая 20:10,AFI Tower,AFI Tower,4749580587,4,1,,,35,53,,,,,,,,,предчистовая,монолитный,,4,4,,подземная,ЖК «AFI Tower»,"ЖК ""Afi Tower""",возможна ипотека,,другое,Сдан 3 кв. 2024,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65031000,55.84894000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1151_m_3553_et._4749580587
"5-к. квартира, 188 м², 4/8 эт.",260000000,"Москва, Большой Козихинский пер., 14с2",4 мая 11:13,BARNES Moscow,BARNES Moscow,7264113395,5,188,,20 м²,4,8,3.4 м,"совмещенный, раздельный",балкон,"во двор, на улицу",евро,,есть,"от ведущих мировых производителей. Высота потолков 3.3 метра.

ЖК",дизайнерский ремонт,монолитный,2004,,,", на улицу
Ремонт",,Жк Вереск,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59653400,55.76350300",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_188_m_48_et._7264113395
"4-к. квартира, 193,9 м², 4/11 эт.",163335543,"ул. Дербеневская, вл. 1",2 мая 17:40,Pioneer,Pioneer,5089485791,4,9,56.6 м²,,4,11,3.7 м,,"ами в ванных комнатах.

ОРUS располагается в историческом месте с видом на Крутицкое подворье и Симоновский вал. Совсем рядом легендарное Замоскворечье - район, сохранивший камерную атмосферу старой Москвы. Локация уникальна также тем, что новые современные проекты соседствуют с культовыми объектами культурного и исторического наследия города.
Для резидентов доступна клубная инфраструктура",на улицу,,,,,без отделки,монолитный,,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Клубный дом «OPUS»,,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65371000,55.72555000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1939_m_411_et._5089485791
"4-к. квартира, 91,6 м², 31/45 эт.",42534520,"ул. Дубининская , з/у 69/1, стр. 15",6 мая 22:17,Level Group - новостройки,Level Group - новостройки,7339653494,4,6,39.5 м²,32.4 м²,31,45,3 м,совмещенный,,во двор,,,есть,,предчистовая,монолитный,,1,1,Отделка,подземная,ЖК «Павелецкая Сити»,Корпус 15 (Импульс),прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63428000,55.71421000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_916_m_3145_et._7339653494
"4-к. квартира, 87,3 м², 4/6 эт.",37500000,"Москва, Малая Пироговская ул., 9/6",,La Richesse,La Richesse,3972477515,4,3,64.2 м²,8 м²,4,6,3 м,раздельный,,"во двор, на улицу",косметический,,,,дизайнерский ремонт,кирпичный,1933,1,,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Виктори Парк Резиденс Жк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57186600,55.72995400",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_873_m_46_et._3972477515
"4-к. квартира, 115 м², 14/19 эт.",57540000,"ул. Эдуарда Стрельцова, д. 2, корп. 1",25 апреля 03:28,INGRAD Недвижимость,INGRAD Недвижимость,7270358143,4,115,40.9 м²,23.3 м²,14,19,3.2 м,"совмещенный, раздельный",лоджия,во двор,,,,,без отделки,монолитный,,1,1,закрытая территория,,Квартал Foriver,"Этап 1, корпус 6",прямая продажа,,другое,Сдан 4 кв. 2024,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65066000,55.71680000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_115_m_1419_et._7270358143
"4-к. квартира, 185,3 м², 18/18 эт.",676550000,"наб. Лужнецкая, д. 2/4, стр. С1",30 апреля 20:39,Absolute Premium,Absolute Premium,7286964260,4,3,65.9 м²,,18,18,,,,"- Вoзможноcть устaновки дрoвяного камина
- Виды из окон на Москву-реку и Частный парк

Клубный дом Нighlinе 1 LUZНNIКI СОLLЕСТIОN",,,есть,,без отделки,монолитный,,,,,"Подъезд
Парки
Узнать больше о ЖК",Luzhniki Collection (Коллекция Лужники),Корпус С1,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57242000,55.71473000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1853_m_1818_et._7286964260
"5-к. квартира, 434,6 м², 11/11 эт.",822671289,"ул. Дербеневская, вл. 1",2 мая 17:40,Pioneer,Pioneer,7265136343,5,6,122.7 м²,,11,11,3.7 м,,"ами в ванных комнатах.

ОРUS располагается в историческом месте с видом на Крутицкое подворье и Симоновский вал. Совсем рядом легендарное Замоскворечье - район, сохранивший камерную атмосферу старой Москвы. Локация уникальна также тем, что новые современные проекты соседствуют с культовыми объектами культурного и исторического наследия города.
Для резидентов доступна клубная инфраструктура",на улицу,,,,,без отделки,монолитный,,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Клубный дом «OPUS»,,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65371000,55.72555000",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_4346_m_1111_et._7265136343
"4-к. квартира, 125,2 м², 7/27 эт.",50070000,"проезд Огородный/ ул. Валаамская, стр. 1",29 апреля 17:19,Брусника,Брусника,4229428043,4,2,56.2 м²,27.5 м²,7,27,,тёплая,лоджия,,,,,,предчистовая,монолитный,,,,"ы больше света, сделать пространства между домами проницаемыми и воздушными. Застройщик",,Квартал «МОНС»,,прямая продажа,,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59470000,55.82017000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1252_m_727_et._4229428043
"4-к. квартира, 164,2 м², 16/22 эт.",184070000,"ул. Сергея Макеева, вл. 11/9",15 апреля 13:59,Sminex,Sminex,7332152535,4,2,48.5 м²,52.4 м²,16,22,3.4 м,"совмещенный, раздельный",,"во двор, на улицу",,,,,без отделки,монолитный,,1,1,закрытая территория,,Роскошный квартал Life Time,Корпус B,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55100000,55.76258000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1642_m_1622_et._7332152535
"4-к. квартира, 142,9 м², 13/22 эт.",115463200,"ш. Волоколамское, стр. 14",28 апреля 22:35,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,4445576534,4,9,70.3 м²,37.2 м²,13,22,3.1 м,раздельный,,,,,,,без отделки,монолитный,,,,закрытая территория,подземная,ЖК «Клубный город на реке Primavera»,Квартал «Беллини» (корпус 14),прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42808000,55.81245000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1429_m_1322_et._4445576534
